"PERIOD","VARIABLE","VALUE","UNIT_MEAS","STATUS"
"1948","GDP","22691.6384013499","MCHF","A"
"1948","GDP","3.63112388349864","AC","A"
"1948","GDP","0.618591249860434","ACPP","A"
"1949","GDP","22402.2657543613","MCHF","A"
"1949","GDP","-1.27523910733262","AC","A"
"1949","GDP","-3.49393473432428","ACPP","A"
"1950","GDP","23607.9851168135","MCHF","A"
"1950","GDP","5.38213132400431","AC","A"
"1950","GDP","7.0461184385235","ACPP","A"
"1951","GDP","25874.7375182236","MCHF","A"
"1951","GDP","9.60163432073544","AC","A"
"1951","GDP","7.54155296452492","ACPP","A"
"1952","GDP","27339.686543603","MCHF","A"
"1952","GDP","5.66169617893755","AC","A"
"1952","GDP","0.784313725490193","ACPP","A"
"1953","GDP","28696.1208263617","MCHF","A"
"1953","GDP","4.96141124586549","AC","A"
"1953","GDP","3.34172579537653","ACPP","A"
"1954","GDP","30408.2423210438","MCHF","A"
"1954","GDP","5.96638655462185","AC","A"
"1954","GDP","5.500184569952","ACPP","A"
"1955","GDP","32801.5952555113","MCHF","A"
"1955","GDP","7.87073750991276","AC","A"
"1955","GDP","6.4520643806858","ACPP","A"
"1956","GDP","35267.291351726","MCHF","A"
"1956","GDP","7.51700055136924","AC","A"
"1956","GDP","6.36997107546673","ACPP","A"
"1957","GDP","37515.9579626993","MCHF","A"
"1957","GDP","6.37606837606837","AC","A"
"1957","GDP","3.99233669118102","ACPP","A"
"1958","GDP","38570.9624048449","MCHF","A"
"1958","GDP","2.81214848143982","AC","A"
"1958","GDP","-2.1394187912284","ACPP","A"
"1959","GDP","40964.3153393125","MCHF","A"
"1959","GDP","6.20506408252579","AC","A"
"1959","GDP","6.25493411064553","ACPP","A"
"1960","GDP","45057.7325748376","MCHF","A"
"1960","GDP","9.99264164827078","AC","A"
"1960","GDP","6.81259644510488","ACPP","A"
"1961","GDP","50688.4419974893","MCHF","A"
"1961","GDP","12.4966550709125","AC","A"
"1961","GDP","8.35250682219488","ACPP","A"
"1962","GDP","56210.6366775202","MCHF","A"
"1962","GDP","10.8943862987631","AC","A"
"1962","GDP","5.02222222222222","ACPP","A"
"1963","GDP","61811.2031161105","MCHF","A"
"1963","GDP","9.96353496353497","AC","A"
"1963","GDP","4.95603517186252","ACPP","A"
"1964","GDP","68515.0027713446","MCHF","A"
"1964","GDP","10.8456061640495","AC","A"
"1964","GDP","5.09833788808745","ACPP","A"
"1965","GDP","73380.0803988391","MCHF","A"
"1965","GDP","7.10074791025079","AC","A"
"1965","GDP","3.0649217784219","ACPP","A"
"1966","GDP","78799.7889330616","MCHF","A"
"1966","GDP","7.38580348340452","AC","A"
"1966","GDP","2.41128298453142","ACPP","A"
"1967","GDP","84822.3571485102","MCHF","A"
"1967","GDP","7.64287353683728","AC","A"
"1967","GDP","3.00068656354753","ACPP","A"
"1968","GDP","90573.6385074071","MCHF","A"
"1968","GDP","6.78038379530916","AC","A"
"1968","GDP","3.6974592220828","ACPP","A"
"1969","GDP","98139.5275067945","MCHF","A"
"1969","GDP","8.35330138445154","AC","A"
"1969","GDP","5.60744129768971","ACPP","A"
"1970","GDP","109316.545996726","MCHF","A"
"1970","GDP","11.3889059524541","AC","A"
"1970","GDP","6.35875402792694","ACPP","A"
"1971","GDP","124183.065735761","MCHF","A"
"1971","GDP","13.5995146969613","AC","A"
"1971","GDP","4.27523059314614","ACPP","A"
"1972","GDP","140719.506791793","MCHF","A"
"1972","GDP","13.3161803971067","AC","A"
"1972","GDP","3.45751549586779","ACPP","A"
"1973","GDP","156815.860280529","MCHF","A"
"1973","GDP","11.4386085168366","AC","A"
"1973","GDP","3.16098230723625","ACPP","A"
"1974","GDP","170127.002042001","MCHF","A"
"1974","GDP","8.48838997385819","AC","A"
"1974","GDP","1.17664851784633","ACPP","A"
"1975","GDP","168987.597244484","MCHF","A"
"1975","GDP","-0.669737774627932","AC","A"
"1975","GDP","-6.71171036503333","ACPP","A"
"1976","GDP","171163.92069371","MCHF","A"
"1976","GDP","1.28785986943027","AC","A"
"1976","GDP","-0.839635944109718","ACPP","A"
"1977","GDP","175781.825851902","MCHF","A"
"1977","GDP","2.69794308255844","AC","A"
"1977","GDP","2.35925279555296","ACPP","A"
"1978","GDP","182877.484299933","MCHF","A"
"1978","GDP","4.03662802661364","AC","A"
"1978","GDP","0.593584238444067","ACPP","A"
"1979","GDP","191160.776319979","MCHF","A"
"1979","GDP","4.52942146035931","AC","A"
"1979","GDP","2.43251726302574","ACPP","A"
"1980","GDP","205370.179006478","MCHF","A"
"1980","GDP","7.43322085212406","AC","A"
"1980","GDP","4.38486287727908","ACPP","A"
"1981","GDP","220471.246585022","MCHF","A"
"1981","GDP","7.35309656523544","AC","A"
"1981","GDP","1.6013358699478","ACPP","A"
"1982","GDP","233572.54542695","MCHF","A"
"1982","GDP","5.942407023528","AC","A"
"1982","GDP","-1.30941744124091","ACPP","A"
"1983","GDP","240628.981900048","MCHF","A"
"1983","GDP","3.02108985463143","AC","A"
"1983","GDP","0.639079457900871","ACPP","A"
"1984","GDP","257187.146814017","MCHF","A"
"1984","GDP","6.88120141772761","AC","A"
"1984","GDP","3.00845641085477","ACPP","A"
"1985","GDP","272689.729586852","MCHF","A"
"1985","GDP","6.02774398521784","AC","A"
"1985","GDP","3.67359591840042","ACPP","A"
"1986","GDP","286186.858673998","MCHF","A"
"1986","GDP","4.94962868883786","AC","A"
"1986","GDP","1.85863278993723","ACPP","A"
"1987","GDP","297101.275014932","MCHF","A"
"1987","GDP","3.81373777660674","AC","A"
"1987","GDP","1.5854781669588","ACPP","A"
"1988","GDP","315400.59655969","MCHF","A"
"1988","GDP","6.15928744965446","AC","A"
"1988","GDP","3.27759625240875","ACPP","A"
"1989","GDP","340440.35481451","MCHF","A"
"1989","GDP","7.93903325737084","AC","A"
"1989","GDP","4.33079405316317","ACPP","A"
"1990","GDP","369198.756762889","MCHF","A"
"1990","GDP","8.44741275282948","AC","A"
"1990","GDP","3.67462563323668","ACPP","A"
"1991","GDP","385605.029403516","MCHF","A"
"1991","GDP","4.4437507819572","AC","A"
"1991","GDP","-0.915816571312067","ACPP","A"
"1992","GDP","393625.509319129","MCHF","A"
"1992","GDP","2.07997284890697","AC","A"
"1992","GDP","-0.0437329929711683","ACPP","A"
"1993","GDP","402258.169833671","MCHF","A"
"1993","GDP","2.19311510818361","AC","A"
"1993","GDP","-0.125983546044495","ACPP","A"
"1994","GDP","412190.662743032","MCHF","A"
"1994","GDP","2.46918363733104","AC","A"
"1994","GDP","1.26975769664122","ACPP","A"
"1995","GDP","417228.340764342","MCHF","A"
"1995","GDP","1.22217179491293","AC","A"
"1995","GDP","0.480866444168226","ACPP","A"
"1996","GDP","420368.493912857","MCHF","A"
"1996","GDP","0.752622207485443","AC","A"
"1996","GDP","0.471280037333344","ACPP","A"
"1997","GDP","427826.113313086","MCHF","A"
"1997","GDP","1.77406715969883","AC","A"
"1997","GDP","2.26132529086975","ACPP","A"
"1998","GDP","439954.878698141","MCHF","A"
"1998","GDP","2.8349754742949","AC","A"
"1998","GDP","3.02996923841197","ACPP","A"
"1999","GDP","447465.786937466","MCHF","A"
"1999","GDP","1.70719967046411","AC","A"
"1999","GDP","1.66270111759088","ACPP","A"
"2000","GDP","471540.038343875","MCHF","A"
"2000","GDP","5.38013231607659","AC","A"
"2000","GDP","3.95871985092731","ACPP","A"
"2001","GDP","483636.918238318","MCHF","A"
"2001","GDP","2.56539825057667","AC","A"
"2001","GDP","1.57566198472292","ACPP","A"
"2002","GDP","482077.197007523","MCHF","A"
"2002","GDP","-0.322498380908653","AC","A"
"2002","GDP","-0.0732172025847411","ACPP","A"
"2003","GDP","487606.518867422","MCHF","A"
"2003","GDP","1.14697851178658","AC","A"
"2003","GDP","-0.0323984601758864","ACPP","A"
"2004","GDP","502265.680026119","MCHF","A"
"2004","GDP","3.00635052885383","AC","A"
"2004","GDP","2.70170917907471","ACPP","A"
"2005","GDP","520848.315345466","MCHF","A"
